OTU,Sample,Abundance,depth_m,Water_Layer,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,Abundance (percentage),Absolute_Abundance_Genus
Otu00051,LC-3m-E1,0.020250149,3,Mixolimnion,95666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,2.02501489,1937.264245
Otu00042,LC-3m-E1,0.013103038,3,Mixolimnion,95666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1.310303752,1253.523923
Otu00143,LC-3m-E1,0.007941235,3,Mixolimnion,95666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.794123486,759.7114685
Otu00008,LC-3m-E1,0.006419165,3,Mixolimnion,95666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.641916485,614.1001037
Otu00106,LC-3m-E1,0.003275759,3,Mixolimnion,95666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,0.327575938,313.3809808
Otu00208,LC-3m-E1,0.002117663,3,Mixolimnion,95666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.211766263,202.5897249
Otu00051,LC-5m-E1,0.017281677,5,Mixolimnion,86666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1.728167717,1497.745355
Otu00042,LC-5m-E1,0.012040513,5,Mixolimnion,86666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1.204051278,1043.511108
Otu00143,LC-5m-E1,0.008428359,5,Mixolimnion,86666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.842835895,730.4577756
Otu00008,LC-5m-E1,0.008074226,5,Mixolimnion,86666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.807422622,699.7662724
Otu00106,LC-5m-E1,0.002266449,5,Mixolimnion,86666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,0.226644947,196.4256203
Otu00008,Cadagno7m-E2,0.110263158,7,Mixolimnion,157333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,11.02631579,17348.07017
Otu00051,Cadagno7m-E2,0.005657895,7,Mixolimnion,157333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.565789474,890.1754384
Otu00042,Cadagno7m-E2,0.003333333,7,Mixolimnion,157333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.333333333,524.4444443
Otu00208,Cadagno7m-E2,0.001578947,7,Mixolimnion,157333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.157894737,248.4210526
Otu00008,LC-9m-E1,0.02483189,9,Mixolimnion,73000,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,2.48318903,1812.727992
Otu00051,LC-9m-E1,0.015250736,9,Mixolimnion,73000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1.525073617,1113.30374
Otu00042,LC-9m-E1,0.007251791,9,Mixolimnion,73000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.725179097,529.380741
Otu00106,LC-9m-E1,0.00184591,9,Mixolimnion,73000,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,0.184591043,134.7514613
Otu00008,LC-11m-E1,0.07392571,11,Mixolimnion,104333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,7.392571012,7712.915754
Otu00055,LC-11m-E1,0.060815732,11,Mixolimnion,104333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,6.081573197,6345.108034
Otu00042,LC-11m-E1,0.041393542,11,Mixolimnion,104333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,4.139354212,4318.726227
Otu00051,LC-11m-E1,0.012341183,11,Mixolimnion,104333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1.234118314,1287.596773
Otu00006,LC-11m-E1,0.001416201,11,Mixolimnion,104333.3333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.141620134,147.7570068
Otu00006,LC-13m-E1,0.157484563,13,Chemocline,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,15.74845633,15013.52837
Otu00033,LC-13m-E1,0.051915353,13,Chemocline,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,5.19153528,4949.263633
Otu00042,LC-13m-E1,0.027696181,13,Chemocline,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,2.769618128,2640.369282
Otu00008,LC-13m-E1,0.002278041,13,Chemocline,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.227804088,217.173231
Otu00051,LC-13m-E1,0.002278041,13,Chemocline,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.227804088,217.173231
Otu00323,LC-13m-E1,0.001198969,13,Chemocline,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.119896889,114.3017005
Otu00208,LC-13m-E1,0.001079072,13,Chemocline,95333.33333,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.1079072,102.8715305
Otu00006,Cadagno15m-E2,0.041380018,15,Chemocline,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,4.138001848,37448.91673
Otu00052,Cadagno15m-E2,0.017352911,15,Chemocline,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1.735291098,15704.38443
Otu00033,Cadagno15m-E2,0.011089434,15,Chemocline,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1.108943423,10035.93798
Otu00042,Cadagno15m-E2,0.002002259,15,Chemocline,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.200225896,1812.044358
Otu00323,Cadagno15m-E2,0.0005134,15,Chemocline,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.051339973,464.6267584
Otu00286,Cadagno15m-E2,0.00030804,15,Chemocline,905000,Bacteria,Cyanobacteria,Oxyphotobacteria,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena_PCC-7429,0.030803984,278.776055
Otu00475,Cadagno15m-E2,0.0002567,15,Chemocline,905000,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,0.025669987,232.3133792
Otu00006,LC-15point5m-E1,0.046191364,15.5,Chemocline,585000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,4.619136422,27021.94807
Otu00033,LC-15point5m-E1,0.014488596,15.5,Chemocline,585000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1.448859561,8475.828432
Otu00052,LC-15point5m-E1,0.002295223,15.5,Chemocline,585000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.229522307,1342.705494
Otu00286,LC-15point5m-E1,0.000573806,15.5,Chemocline,585000,Bacteria,Cyanobacteria,Oxyphotobacteria,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena_PCC-7429,0.057380577,335.6763735
Otu00323,LC-15point5m-E1,0.000573806,15.5,Chemocline,585000,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.057380577,335.6763735
Otu00475,LC-15point5m-E1,0.000286903,15.5,Chemocline,585000,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,0.028690288,167.8381868
Otu00006,LC-17m-E1,0.113450846,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,11.34508459,49313.301
Otu00033,LC-17m-E1,0.018750739,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,1.875073938,8150.321386
Otu00286,LC-17m-E1,0.00094641,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena_PCC-7429,0.094640956,411.3726882
Otu00323,LC-17m-E1,0.000532355,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.053235538,231.3971371
Otu00052,LC-17m-E1,0.000414054,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.041405418,179.9755511
Otu00342,LC-17m-E1,0.000414054,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.041405418,179.9755511
Otu00475,LC-17m-E1,0.000414054,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,0.041405418,179.9755511
Otu00042,LC-17m-E1,0.000295753,17,Monimolimnion,434666.6667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.029575299,128.5539651
Otu00006,LC-19m-E1,0.089489384,19,Monimolimnion,397000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,8.94893841,35527.28549
Otu00033,LC-19m-E1,0.007896122,19,Monimolimnion,397000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,0.789612213,3134.760484
Otu00286,LC-19m-E1,0.001228286,19,Monimolimnion,397000,Bacteria,Cyanobacteria,Oxyphotobacteria,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena_PCC-7429,0.122828566,487.6294087
Otu00323,LC-19m-E1,0.000526408,19,Monimolimnion,397000,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.052640814,208.9840323
Otu00342,LC-19m-E1,0.000526408,19,Monimolimnion,397000,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.052640814,208.9840323
Otu00475,LC-19m-E1,0.000350939,19,Monimolimnion,397000,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,Gastranaerophilales_fa,Gastranaerophilales_ge,0.035093876,139.3226882
