"","OTU","Sample","Abundance","depth_m","avg_cells_ml","Kingdom","Phylum","Abundance_P","AA_Phylum"
"1","Otu00001","Cadagno15m-E2",0.485522127528494,15,905000,"Bacteria","Proteobacteria",48.5522127528494,439397.525413287
"3","Otu00001","LC-15point5m-E1",0.395352173289342,15.5,585000,"Bacteria","Proteobacteria",39.5352173289342,231281.021374265
"11","Otu00002","LC-5m-E1",0.380905163255188,5,86666.66667,"Bacteria","Actinobacteria",38.0905163255188,33011.7808167193
"4","Otu00001","LC-19m-E1",0.371000760367316,19,397000,"Bacteria","Proteobacteria",37.1000760367316,147287.301865824
"24","Otu00003","Cadagno7m-E2",0.370614035087719,7,157333.3333,"Bacteria","Bacteroidetes",37.0614035087719,58309.941508114
"20","Otu00002","LC-3m-E1",0.353715836145854,3,95666.66667,"Bacteria","Actinobacteria",35.3715836145854,33838.8149924658
"6","Otu00001","LC-17m-E1",0.342955163847155,17,434666.6667,"Bacteria","Proteobacteria",34.2955163847155,149071.177896995
"18","Otu00002","Cadagno7m-E2",0.317236842105263,7,157333.3333,"Bacteria","Actinobacteria",31.7236842105263,49911.9298139868
"22","Otu00003","LC-9m-E1",0.311387509339428,9,73000,"Bacteria","Bacteroidetes",31.1387509339428,22731.2881817782
"29","Otu00003","LC-11m-E1",0.305859027271992,11,104333.3333,"Bacteria","Bacteroidetes",30.5859027271992,31911.2918351825
"16","Otu00002","LC-11m-E1",0.295743303390791,11,104333.3333,"Bacteria","Actinobacteria",29.5743303390791,30855.8846439144
"27","Otu00003","LC-15point5m-E1",0.283029694448429,15.5,585000,"Bacteria","Bacteroidetes",28.3029694448429,165572.371252331
"9","Otu00001","LC-13m-E1",0.269228463521372,13,95333.33333,"Bacteria","Proteobacteria",26.9228463521372,25666.4468548067
"25","Otu00003","Cadagno15m-E2",0.254184207824212,15,905000,"Bacteria","Bacteroidetes",25.4184207824212,230036.708080912
"23","Otu00003","LC-19m-E1",0.252500438673452,19,397000,"Bacteria","Bacteroidetes",25.2500438673452,100242.67415336
"30","Otu00003","LC-17m-E1",0.247072045427659,17,434666.6667,"Bacteria","Bacteroidetes",24.7072045427659,107393.982420791
"40","Otu00006","LC-13m-E1",0.245668724896589,13,95333.33333,"Bacteria","Cyanobacteria",24.5668724896589,23420.4184393226
"13","Otu00002","LC-9m-E1",0.242077967740518,9,73000,"Bacteria","Actinobacteria",24.2077967740518,17671.6916450578
"21","Otu00003","LC-5m-E1",0.221757914866492,5,86666.66667,"Bacteria","Bacteroidetes",22.1757914866492,19219.0192891685
"26","Otu00003","LC-3m-E1",0.214909668453445,3,95666.66667,"Bacteria","Bacteroidetes",21.4909668453444,20559.6916160959
"28","Otu00003","LC-13m-E1",0.213716204064505,13,95333.33333,"Bacteria","Bacteroidetes",21.3716204064505,20374.2781201037
"7","Otu00001","LC-3m-E1",0.204685328568592,3,95666.66667,"Bacteria","Proteobacteria",20.4685328568592,19581.563100411
"39","Otu00006","LC-11m-E1",0.192239216638343,11,104333.3333,"Bacteria","Cyanobacteria",19.2239216638343,20056.9582628591
"10","Otu00001","LC-9m-E1",0.179141212147849,9,73000,"Bacteria","Proteobacteria",17.9141212147849,13077.308486793
"47","Otu00009","LC-5m-E1",0.159572207663432,5,86666.66667,"Bacteria","Verrucomicrobia",15.9572207663432,13829.5913313627
"46","Otu00009","LC-9m-E1",0.154309321847668,9,73000,"Bacteria","Verrucomicrobia",15.4309321847668,11264.5804948798
"5","Otu00001","LC-5m-E1",0.142219703945039,5,86666.66667,"Bacteria","Proteobacteria",14.2219703945039,12325.7076757107
"15","Otu00002","LC-13m-E1",0.142017864636413,13,95333.33333,"Bacteria","Actinobacteria",14.2017864636413,13539.0364281979
"35","Otu00006","LC-17m-E1",0.135395717496747,17,434666.6667,"Bacteria","Cyanobacteria",13.5395717496747,58852.0052097658
"42","Otu00009","LC-3m-E1",0.127853881278539,3,95666.66667,"Bacteria","Verrucomicrobia",12.7853881278539,12231.3546427397
"37","Otu00006","Cadagno7m-E2",0.122543859649123,7,157333.3333,"Bacteria","Cyanobacteria",12.2543859649123,19280.2339140439
"45","Otu00009","LC-11m-E1",0.111879906126082,11,104333.3333,"Bacteria","Verrucomicrobia",11.1879906126082,11672.8035354253
"31","Otu00006","LC-19m-E1",0.10060244487337,19,397000,"Bacteria","Cyanobacteria",10.060244487337,39939.1706147277
"50","Otu00009","Cadagno7m-E2",0.0850877192982456,7,157333.3333,"Bacteria","Verrucomicrobia",8.50877192982456,13387.1345000877
"2","Otu00001","LC-11m-E1",0.0819373634377276,11,104333.3333,"Bacteria","Proteobacteria",8.19373634377276,8548.79824927167
"8","Otu00001","Cadagno7m-E2",0.0730701754385965,7,157333.3333,"Bacteria","Proteobacteria",7.30701754385965,11496.3742665702
"38","Otu00006","Cadagno15m-E2",0.0730567820104734,15,905000,"Bacteria","Cyanobacteria",7.30567820104734,66116.3877194784
"56","Otu00012","LC-19m-E1",0.0667368544189039,19,397000,"Bacteria","Firmicutes",6.67368544189039,26494.5312043049
"17","Otu00002","LC-15point5m-E1",0.0661311146177019,15.5,585000,"Bacteria","Actinobacteria",6.61311146177019,38686.7020513556
"36","Otu00006","LC-15point5m-E1",0.064553148759145,15.5,585000,"Bacteria","Cyanobacteria",6.4553148759145,37763.5920240998
"54","Otu00012","LC-17m-E1",0.0606293623565598,17,434666.6667,"Bacteria","Firmicutes",6.06293623565598,26353.5628396723
"19","Otu00002","LC-17m-E1",0.0586182420442446,17,434666.6667,"Bacteria","Actinobacteria",5.86182420442446,25479.3958771856
"52","Otu00012","LC-15point5m-E1",0.0549419021661168,15.5,585000,"Bacteria","Firmicutes",5.49419021661168,32141.0127671783
"32","Otu00006","LC-3m-E1",0.0546621666335782,3,95666.66667,"Bacteria","Cyanobacteria",5.46621666335782,5229.34727479452
"58","Otu00012","Cadagno15m-E2",0.0527261525824007,15,905000,"Bacteria","Firmicutes",5.27261525824007,47717.1680870726
"33","Otu00006","LC-9m-E1",0.0524326462444513,9,73000,"Bacteria","Cyanobacteria",5.24326462444513,3827.58317584494
"70","Otu00028","LC-9m-E1",0.0519052432646244,9,73000,"Bacteria","Armatimonadetes",5.19052432646244,3789.08275831758
"34","Otu00006","LC-5m-E1",0.0503576740562363,5,86666.66667,"Bacteria","Cyanobacteria",5.03576740562363,4364.33175170834
"48","Otu00009","LC-13m-E1",0.0475391163599305,13,95333.33333,"Bacteria","Verrucomicrobia",4.75391163599305,4532.06242615491
"43","Otu00009","LC-19m-E1",0.0462069368895128,19,397000,"Bacteria","Verrucomicrobia",4.62069368895128,18344.1539451366
"44","Otu00009","LC-17m-E1",0.0460783153909854,17,434666.6667,"Bacteria","Verrucomicrobia",4.60783153909854,20028.707758151
"63","Otu00028","LC-5m-E1",0.043062539839932,5,86666.66667,"Bacteria","Armatimonadetes",4.3062539839932,3732.08678627098
"69","Otu00028","LC-3m-E1",0.0405995632320826,3,95666.66667,"Bacteria","Armatimonadetes",4.05995632320826,3884.02488267123
"108","Otu00072","LC-15point5m-E1",0.039305695022235,15.5,585000,"Bacteria","Patescibacteria",3.9305695022235,22993.8315880075
"14","Otu00002","LC-19m-E1",0.0374334678598585,19,397000,"Bacteria","Actinobacteria",3.74334678598585,14861.0867403638
"57","Otu00012","LC-13m-E1",0.0365086026017625,13,95333.33333,"Bacteria","Firmicutes",3.65086026017625,3480.48678124633
"12","Otu00002","Cadagno15m-E2",0.0359893212855529,15,905000,"Bacteria","Actinobacteria",3.59893212855529,32570.3357634254
"49","Otu00009","Cadagno15m-E2",0.0358866413389465,15,905000,"Bacteria","Verrucomicrobia",3.58866413389465,32477.4104117466
"41","Otu00009","LC-15point5m-E1",0.0327069287046335,15.5,585000,"Bacteria","Verrucomicrobia",3.27069287046335,19133.5532922106
"102","Otu00072","LC-17m-E1",0.031408967230569,17,434666.6667,"Bacteria","Patescibacteria",3.1408967230569,13652.431090601
"101","Otu00072","LC-19m-E1",0.0308241211908522,19,397000,"Bacteria","Patescibacteria",3.08241211908522,12237.1761127683
"76","Otu00059","Cadagno7m-E2",0.0263157894736842,7,157333.3333,"Bacteria","Chloroflexi",2.63157894736842,4140.35087631579
"107","Otu00072","Cadagno15m-E2",0.0207926891878016,15,905000,"Bacteria","Patescibacteria",2.07926891878016,18817.3837149605
"106","Otu00072","LC-13m-E1",0.0167855644146034,13,95333.33333,"Bacteria","Patescibacteria",1.67855644146034,1600.22380746958
"90","Otu00066","LC-17m-E1",0.0162664142907843,17,434666.6667,"Bacteria","Planctomycetes",1.62664142907843,7070.46807893647
"95","Otu00069","LC-19m-E1",0.0157922442533778,19,397000,"Bacteria","Acidobacteria",1.57922442533778,6269.52096859098
"86","Otu00066","LC-19m-E1",0.0155582850792537,19,397000,"Bacteria","Planctomycetes",1.55582850792537,6176.63917646371
"99","Otu00069","LC-15point5m-E1",0.0121933725433941,15.5,585000,"Bacteria","Acidobacteria",1.21933725433941,7133.12293788553
"121","Otu00100","LC-19m-E1",0.0116979587062058,19,397000,"Bacteria","Spirochaetes",1.16979587062058,4644.08960636369
"114","Otu00092","LC-19m-E1",0.0110545709773644,19,397000,"Bacteria","Kiritimatiellaeota",1.10545709773644,4388.66467801369
"144","Otu00141","LC-19m-E1",0.0108791015967714,19,397000,"Bacteria","Epsilonbacteraeota",1.08791015967714,4319.00333391823
"93","Otu00069","LC-17m-E1",0.010410505146102,17,434666.6667,"Bacteria","Acidobacteria",1.0410505146102,4525.09957051934
"72","Otu00059","LC-19m-E1",0.0103526934549921,19,397000,"Bacteria","Chloroflexi",1.03526934549921,4110.01930163187
"126","Otu00100","LC-17m-E1",0.0103513545486809,17,434666.6667,"Bacteria","Spirochaetes",1.03513545486809,4499.38877750503
"111","Otu00092","LC-15point5m-E1",0.0103285038014632,15.5,585000,"Bacteria","Kiritimatiellaeota",1.03285038014632,6042.17472385598
"78","Otu00059","LC-17m-E1",0.00999645096415474,17,434666.6667,"Bacteria","Chloroflexi",0.999645096415474,4345.12401941914
"149","Otu00141","LC-17m-E1",0.00875428841831303,17,434666.6667,"Bacteria","Epsilonbacteraeota",0.875428841831303,3805.19736611854
"147","Otu00141","LC-15point5m-E1",0.00832018361784536,15.5,585000,"Bacteria","Epsilonbacteraeota",0.832018361784536,4867.30741643953
"85","Otu00066","LC-15point5m-E1",0.00803328073447138,15.5,585000,"Bacteria","Planctomycetes",0.803328073447138,4699.46922966576
"97","Otu00069","Cadagno15m-E2",0.00790635588869494,15,905000,"Bacteria","Acidobacteria",0.790635588869494,7155.25207926892
"145","Otu00141","LC-13m-E1",0.00779329776392303,13,95333.33333,"Bacteria","Epsilonbacteraeota",0.779329776392303,742.961053468018
"153","Otu00218","LC-19m-E1",0.00748669357197169,19,397000,"Bacteria","Bacteria_unclassified",0.748669357197169,2972.21734807276
"123","Otu00100","LC-15point5m-E1",0.00745947496772343,15.5,585000,"Bacteria","Spirochaetes",0.745947496772343,4363.7928561182
"83","Otu00066","Cadagno15m-E2",0.00723893623575316,15,905000,"Bacteria","Planctomycetes",0.723893623575316,6551.23729335661
"116","Otu00092","LC-17m-E1",0.00692061989826097,17,434666.6667,"Bacteria","Kiritimatiellaeota",0.692061989826097,3008.16278267479
"160","Otu00218","LC-17m-E1",0.00674316810599787,17,434666.6667,"Bacteria","Bacteria_unclassified",0.674316810599787,2931.03040363185
"157","Otu00218","LC-15point5m-E1",0.00602496055085354,15.5,585000,"Bacteria","Bacteria_unclassified",0.602496055085354,3524.60192224932
"134","Otu00139","LC-19m-E1",0.00584897935310288,19,397000,"Bacteria","Omnitrophicaeota",0.584897935310288,2322.04480318185
"80","Otu00059","LC-13m-E1",0.00563515376775973,13,95333.33333,"Bacteria","Chloroflexi",0.563515376775973,537.217992507643
"74","Otu00059","LC-11m-E1",0.00562434247794772,11,104333.3333,"Bacteria","Chloroflexi",0.562434247794772,586.806398345068
"75","Otu00059","LC-15point5m-E1",0.00530770334241859,15.5,585000,"Bacteria","Chloroflexi",0.530770334241859,3105.00645531488
"87","Otu00066","LC-13m-E1",0.00479587554702955,13,95333.33333,"Bacteria","Planctomycetes",0.479587554702955,457.206802134165
"142","Otu00141","Cadagno15m-E2",0.00467193757059246,15,905000,"Bacteria","Epsilonbacteraeota",0.467193757059246,4228.10350138618
"73","Otu00059","Cadagno15m-E2",0.00410719786425711,15,905000,"Bacteria","Chloroflexi",0.410719786425711,3717.01406715268
"120","Otu00092","Cadagno15m-E2",0.00410719786425711,15,905000,"Bacteria","Kiritimatiellaeota",0.410719786425711,3717.01406715268
"130","Otu00100","Cadagno15m-E2",0.00364513810452819,15,905000,"Bacteria","Spirochaetes",0.364513810452819,3298.84998459801
"152","Otu00218","LC-9m-E1",0.00325231837559882,9,73000,"Bacteria","Bacteria_unclassified",0.325231837559882,237.419241418714
"136","Otu00139","LC-17m-E1",0.00319413226073583,17,434666.6667,"Bacteria","Omnitrophicaeota",0.319413226073583,1388.38282277298
"67","Otu00028","LC-13m-E1",0.00317726754990708,13,95333.33333,"Bacteria","Armatimonadetes",0.317726754990708,302.899506413884
"133","Otu00139","LC-15point5m-E1",0.00315593171711376,15.5,585000,"Bacteria","Omnitrophicaeota",0.315593171711376,1846.22005451155
"155","Otu00218","Cadagno15m-E2",0.00292637847828319,15,905000,"Bacteria","Bacteria_unclassified",0.292637847828319,2648.37252284629
"71","Otu00059","LC-9m-E1",0.0029007163890476,9,73000,"Bacteria","Chloroflexi",0.29007163890476,211.752296400475
"66","Otu00028","Cadagno7m-E2",0.00285087719298246,7,157333.3333,"Bacteria","Armatimonadetes",0.285087719298246,448.538011600877
"131","Otu00139","Cadagno15m-E2",0.00266967861176712,15,905000,"Bacteria","Omnitrophicaeota",0.266967861176712,2416.05914364925
"61","Otu00028","Cadagno15m-E2",0.00236163877194784,15,905000,"Bacteria","Armatimonadetes",0.236163877194784,2137.28308861279
"110","Otu00072","LC-11m-E1",0.00202314477624019,11,104333.3333,"Bacteria","Patescibacteria",0.202314477624019,211.081438253621
"173","Otu00272","LC-19m-E1",0.00181318359946189,19,397000,"Bacteria","Lentisphaerae",0.181318359946189,719.833888986372
"174","Otu00272","LC-17m-E1",0.00177451792263102,17,434666.6667,"Bacteria","Lentisphaerae",0.177451792263102,771.323790429433
"129","Otu00100","LC-13m-E1",0.00167855644146034,13,95333.33333,"Bacteria","Spirochaetes",0.167855644146034,160.022380746958
"197","Otu00363","LC-13m-E1",0.00149871110844674,13,95333.33333,"Bacteria","Dependentiae",0.149871110844674,142.877125666926
"161","Otu00238","LC-19m-E1",0.00146224483827572,19,397000,"Bacteria","Cloacimonetes",0.146224483827572,580.511200795461
"146","Otu00141","LC-11m-E1",0.00145666423889294,11,104333.3333,"Bacteria","Epsilonbacteraeota",0.145666423889294,151.978635542607
"109","Otu00072","Cadagno7m-E2",0.00144736842105263,7,157333.3333,"Bacteria","Patescibacteria",0.144736842105263,227.719298197368
"79","Otu00059","LC-3m-E1",0.00142280457944544,3,95666.66667,"Bacteria","Chloroflexi",0.142280457944544,136.114971438356
"104","Otu00072","LC-9m-E1",0.0014064079462049,9,73000,"Bacteria","Patescibacteria",0.14064079462049,102.667780072957
"171","Otu00272","LC-15point5m-E1",0.0012910629751829,15.5,585000,"Bacteria","Lentisphaerae",0.12910629751829,755.271840481997
"156","Otu00218","LC-3m-E1",0.00129045066507842,3,95666.66667,"Bacteria","Bacteria_unclassified",0.129045066507842,123.453113630137
"62","Otu00028","LC-19m-E1",0.00128677545768263,19,397000,"Bacteria","Armatimonadetes",0.128677545768263,510.849856700006
"186","Otu00327","LC-19m-E1",0.00128677545768263,19,397000,"Bacteria","Chlamydiae",0.128677545768263,510.849856700006
"165","Otu00238","LC-17m-E1",0.00124216254584171,17,434666.6667,"Bacteria","Cloacimonetes",0.124216254584171,539.926653300603
"159","Otu00218","LC-11m-E1",0.00117342397021931,11,104333.3333,"Bacteria","Bacteria_unclassified",0.117342397021931,122.4272341871
"166","Otu00238","LC-15point5m-E1",0.00114761153349591,15.5,585000,"Bacteria","Cloacimonetes",0.114761153349591,671.352747095108
"68","Otu00028","LC-17m-E1",0.00112386135099965,17,434666.6667,"Bacteria","Armatimonadetes",0.112386135099965,488.505067271974
"158","Otu00218","LC-13m-E1",0.00107907199808165,13,95333.33333,"Bacteria","Bacteria_unclassified",0.107907199808165,102.871530480187
"88","Otu00066","LC-11m-E1",0.00101157238812009,11,104333.3333,"Bacteria","Planctomycetes",0.101157238812009,105.540719126811
"168","Otu00238","Cadagno15m-E2",0.00092411951945785,15,905000,"Bacteria","Cloacimonetes",0.092411951945785,836.328165109354
"179","Otu00272","Cadagno15m-E2",0.000770099599548208,15,905000,"Bacteria","Lentisphaerae",0.0770099599548208,696.940137591128
"65","Otu00028","LC-15point5m-E1",0.000717257208434945,15.5,585000,"Bacteria","Armatimonadetes",0.0717257208434945,419.595466934443
"184","Otu00327","LC-17m-E1",0.000709807169052407,17,434666.6667,"Bacteria","Chlamydiae",0.0709807169052407,308.529516171773
"198","Otu00363","LC-17m-E1",0.000354903584526204,17,434666.6667,"Bacteria","Dependentiae",0.0354903584526204,154.264758085887
"188","Otu00327","Cadagno15m-E2",0.000256699866516069,15,905000,"Bacteria","Chlamydiae",0.0256699866516069,232.313379197043
"191","Otu00363","Cadagno15m-E2",0.000256699866516069,15,905000,"Bacteria","Dependentiae",0.0256699866516069,232.313379197043
